,Src,Dst,Weight,edge_type
18929,389,1303,1,0
18962,390,880,1,0
18974,391,1304,1,0
19053,392,1122,1,0
19065,393,1305,1,0
19356,394,1306,1,0
20090,2,1042,1,0
20233,2,1307,1,0
21811,242,1177,1,0
22239,386,1308,1,0
22240,395,1308,1,0
22241,396,1308,1,0
22244,342,994,1,0
22542,353,1302,1,0
22545,396,1302,1,0
23121,319,931,1,0
23424,55,1309,1,0
24152,397,987,1,0
25147,15,1072,1,0
25169,100,1310,1,0
25170,398,1311,1,0
25737,341,1285,1,0
26609,399,1067,1,0
27348,400,1253,1,0
28232,64,1312,1,0
28236,401,939,1,0
30374,386,1313,1,0
30513,396,1313,1,0
30514,402,1020,1,0
30672,93,998,1,0
31115,81,1072,1,0
31549,403,1282,1,0
32974,404,1246,1,0
34174,388,1314,1,0
34321,396,1267,1,0
34479,405,1315,1,0
34923,14,1316,1,0
35082,53,954,1,0
35238,55,1317,1,0
35242,354,889,1,0
36363,406,1318,1,0
37652,394,1280,1,0
38248,407,1319,1,0
38263,390,1032,1,0
38435,408,1311,1,0
38859,352,1320,1,0
40003,409,1264,1,0
40025,171,1251,1,0
40590,39,1321,1,0
41326,405,1263,1,0
41751,410,1322,1,0
41896,371,987,1,0
42033,371,1028,1,0
42312,124,923,1,0
42617,97,923,1,0
43058,2,1323,1,0
43490,362,1067,1,0
43663,354,1029,1,0
44524,411,1324,1,0
44538,412,1325,1,0
44560,352,1326,1,0
44578,413,893,1,0
44594,383,1327,1,0
44773,347,1254,1,0
44784,108,1328,1,0
44792,177,1074,1,0
44811,414,1149,1,0
44812,172,931,1,0
44813,363,931,1,0
44816,415,930,1,0
44834,2,1329,1,0
44851,403,1100,1,0
44862,109,1328,1,0
44893,354,951,1,0
45218,154,1053,1,0
45222,53,1242,1,0
45257,416,1200,1,0
45263,2,1322,1,0
45549,364,1330,1,0
45556,411,1331,1,0
45701,417,1332,1,0
45709,272,1264,1,0
45906,14,1333,1,0
45912,344,1253,1,0
46058,418,1334,1,0
46062,343,930,1,0
46116,348,1138,1,0
46133,419,956,1,0
46134,402,1023,1,0
46158,14,1335,1,0
46169,420,1044,1,0
46252,421,1336,1,0
46269,418,931,1,0
46283,142,1080,1,0
46373,383,1337,1,0
46377,372,1331,1,0
46382,178,1299,1,0
46677,385,1320,1,0
46688,14,1338,1,0
46697,422,1339,1,0
46699,53,997,1,0
46702,99,1299,1,0
46725,14,1340,1,0
46736,423,1327,1,0
46740,424,1263,1,0
46764,386,1267,1,0
46765,395,1267,1,0
46777,417,1341,1,0
46806,300,1200,1,0
46832,425,997,1,0
46835,426,1315,1,0
46838,427,997,1,0
46841,369,1315,1,0
46843,55,873,1,0
46846,424,1315,1,0
46989,15,930,1,0
46993,74,930,1,0
47031,428,1342,1,0
47034,128,1068,1,0
47058,397,1072,1,0
47071,426,1263,1,0
47074,127,1275,1,0
47260,74,931,1,0
47294,429,1228,1,0
47299,430,1261,1,0
47311,411,1343,1,0
47366,128,1299,1,0
48207,431,1295,1,0
48208,400,1247,1,0
48224,10,1344,1,0
48225,131,1299,1,0
48372,61,1345,1,0
48405,402,1328,1,0
48409,406,1346,1,0
48566,432,1347,1,0
48572,433,1348,1,0
49275,434,868,1,0
49306,54,868,1,0
49312,421,1250,1,0
49603,53,1349,1,0
49760,14,1255,1,0
49764,353,1313,1,0
50039,355,1350,1,0
50056,417,1351,1,0
50061,398,1279,1,0
50202,408,1279,1,0
50343,435,1352,1,0
50347,432,1353,1,0
50349,55,1086,1,0
50377,14,1352,1,0
50383,342,1354,1,0
50394,152,881,1,0
50399,2,1355,1,0
50598,412,1356,1,0
51087,436,1072,1,0
51103,215,1357,1,0
51110,130,1067,1,0
51113,80,931,1,0
51117,419,1229,1,0
51129,363,1334,1,0
51131,242,1141,1,0
51132,78,931,1,0
51282,14,1358,1,0
51454,436,931,1,0
51475,113,931,1,0
51476,397,931,1,0
51542,14,1301,1,0
51776,395,1313,1,0
51800,172,994,1,0
51804,308,1152,1,0
51820,128,1359,1,0
51831,399,985,1,0
51855,437,868,1,0
51869,419,1295,1,0
52437,363,1072,1,0
52445,438,1059,1,0
52452,38,880,1,0
52485,438,1360,1,0
52824,355,1322,1,0
52831,42,936,1,0
53311,439,956,1,0
53322,366,1361,1,0
53491,2,1362,1,0
53662,353,1308,1,0
53714,380,925,1,0
53715,68,1293,1,0
53875,348,1137,1,0
54196,125,998,1,0
54352,276,1363,1,0
54353,440,1364,1,0
54371,58,1007,1,0
54378,441,1365,1,0
54388,419,913,1,0
54839,442,1366,1,0
54842,2,1367,1,0
55011,267,942,1,0
55302,24,1368,1,0
55305,120,867,1,0
55306,320,1319,1,0
55325,276,1172,1,0
55640,14,1247,1,0
55670,83,931,1,0
55679,14,1369,1,0
55686,443,938,1,0
55692,55,1370,1,0
55911,388,1371,1,0
55940,14,1079,1,0
55942,141,1146,1,0
55957,444,1372,1,0
55990,2,1373,1,0
56002,389,1374,1,0
56044,2,1375,1,0
56183,371,1072,1,0
56328,418,1284,1,0
56348,11,1072,1,0
56661,15,988,1,0
