,Src,Dst,Weight,edge_type
1395,502,5320,1,0
1396,122,5231,1,0
1397,122,5321,1,0
1398,503,5051,1,0
1399,260,4928,1,0
1400,503,5317,1,0
1401,503,5047,1,0
1402,204,5319,1,0
1403,503,5296,1,0
1404,204,5322,1,0
1405,260,4992,1,0
1406,471,5051,1,0
1407,283,5323,1,0
1409,504,5319,1,0
1410,505,5324,1,0
1411,72,5139,1,0
1412,72,5238,1,0
1413,72,5325,1,0
1414,204,5324,1,0
1415,118,5080,1,0
1416,257,5164,1,0
1418,498,5164,1,0
1420,118,5326,1,0
1421,506,5101,1,0
1422,145,5326,1,0
1423,72,4918,1,0
1424,72,5327,1,0
1425,501,5052,1,0
1426,72,5328,1,0
1427,507,4943,1,0
1429,508,5027,1,0
1430,267,5118,1,0
1431,72,5329,1,0
1432,308,4943,1,0
1433,509,5007,1,0
1434,403,5330,1,0
1435,178,5331,1,0
1436,510,4951,1,0
1437,498,5052,1,0
1438,72,5051,1,0
1439,260,4943,1,0
1440,159,4969,1,0
1441,511,4962,1,0
1442,72,5164,1,0
1443,178,5330,1,0
1444,509,4951,1,0
1445,512,5332,1,0
1446,513,5321,1,0
1447,298,5332,1,0
1448,513,5129,1,0
1449,514,5333,1,0
1450,511,5334,1,0
1451,280,5050,1,0
1452,283,5230,1,0
1453,72,5323,1,0
1455,508,5335,1,0
1456,515,5118,1,0
1457,280,5072,1,0
1458,516,4969,1,0
1460,364,5321,1,0
1461,512,5175,1,0
1462,260,5164,1,0
1464,297,5055,1,0
1466,299,5055,1,0
1467,97,5055,1,0
1468,198,4973,1,0
1471,40,4982,1,0
1472,517,5336,1,0
1474,187,5337,1,0
1475,518,4969,1,0
1477,519,5338,1,0
1478,465,5339,1,0
1479,129,5339,1,0
1480,520,5340,1,0
1481,336,5175,1,0
1482,364,5139,1,0
1483,116,5341,1,0
1485,521,4991,1,0
1487,522,5342,1,0
1488,523,5296,1,0
1489,524,4977,1,0
1490,523,5047,1,0
1491,525,4928,1,0
1493,523,5070,1,0
1494,208,5343,1,0
1495,526,5137,1,0
1496,209,5344,1,0
1498,527,4980,1,0
1499,469,5345,1,0
1500,280,4985,1,0
1501,280,4972,1,0
1502,528,5345,1,0
1503,258,5345,1,0
1504,258,5345,1,0
1505,261,5345,1,0
1506,280,4861,1,0
1507,261,4980,1,0
1508,207,4861,1,0
1509,469,4970,1,0
1510,195,4985,1,0
1511,261,4970,1,0
1512,195,4861,1,0
1513,207,5050,1,0
1514,261,5050,1,0
1515,195,5050,1,0
1516,525,4970,1,0
1517,116,5346,1,0
1518,529,4878,1,0
1519,315,5347,1,0
1520,116,5233,1,0
1521,296,4995,1,0
1522,296,5348,1,0
1523,530,4995,1,0
1524,210,5348,1,0
1525,530,5048,1,0
1526,208,5175,1,0
1527,364,4995,1,0
1528,210,5175,1,0
1529,210,5173,1,0
1530,531,4995,1,0
1531,116,5305,1,0
1532,116,5349,1,0
1533,116,5350,1,0
1534,116,5351,1,0
1535,116,5352,1,0
1536,116,5353,1,0
1537,116,5354,1,0
1538,116,5355,1,0
1539,116,5356,1,0
1541,532,4969,1,0
1542,187,5357,1,0
1543,114,4984,1,0
1544,197,4969,1,0
1545,35,4984,1,0
1546,343,4969,1,0
1547,403,4969,1,0
1549,281,5337,1,0
1550,182,5358,1,0
1551,182,5337,1,0
1552,98,4963,1,0
1553,182,5088,1,0
1554,533,5359,1,0
1555,164,5360,1,0
1556,431,5360,1,0
1557,114,5360,1,0
1558,534,5360,1,0
1559,535,5360,1,0
